g_event_id,sid,time,r_dow,r_hod,a_er_cat,a_app_id,a_campaign_type_id,a_camp_id,a_group_id,r_source_id,c_id,r_site_id,r_site_iab_cats,r_country_id,r_region_code,r_platform,r_network_type,r_traffic_type,c_type,c_cta,c_text,c_size,s_gerry_type,s_caesar_id,response
-4,0,1568672187.931,0,22,0,536,2,25225,26344,74,6389686,28120963,14,49,02,IOS,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568672439.288,0,22,0,1699,2,4941,26873,253,6387895,28641080,24,85,04,ANDROID,cellular,app,HTML,Jetzt Buchen, {product.custom_label_1},3200480,,,0
-4,0,1568672459.872,0,22,3,2316,2,6590,26546,74,6371880,28120955,9,32,21,ANDROID,wifi,app,IMAGE,,,3200050,0,,0
-4,0,1568672463.947,0,22,0,1992,2,25403,26865,69,6387835,26357695,5,32,21,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568672572.516,0,22,0,1061,2,6652,14758,69,6376677,27765271,3,106,04,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB4W,0,,,0
-4,0,1568672700.708,0,22,0,2213,2,6639,14723,69,6388961,27734527,3,178,20,ANDROID,cellular,app,NATIVE,Shop Now,₱{product.sale_price} |  {product.title},0,,,0
-4,0,1568672720.537,0,22,0,1061,2,6652,14758,69,6376677,27734524,3,106,26,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB4W,0,,,0
-4,0,1568672788.74,0,22,0,2416,2,25664,27148,69,6390877,28501347,"12,24",104,23,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568672835.109,0,22,0,2154,2,25476,26459,69,6386377,26773518,3,32,21,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568672890.056,0,22,0,1992,2,25403,26865,44,6392813,26037250,3,32,27,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568672891.325,0,22,0,1999,2,25662,27118,69,6374246,27322361,"9,9,9",32,23,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568672901.953,0,22,0,2339,2,25357,25851,69,6378875,21032817,"14,3",49,34,ANDROID,cellular,app,NATIVE,Viaja Ahora,Estás Listo Para Viajar con Beat,0,,,0
-4,0,1568672931.101,0,22,0,2339,2,6841,15724,69,6392864,28014499,"14,3",177,15,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568672971.337,0,22,0,2339,2,6842,26847,69,6376967,28457110,"1,14",45,12,ANDROID,cellular,app,NATIVE,Mejores Tarifas,¡No te muevas sin las mejores tarifas de Beat!,0,,,0
-4,0,1568672989.421,0,22,0,1999,2,25662,27118,69,6374255,27661100,3,32,15,ANDROID,cellular,app,NATIVE,Peça agora,o app do gás,0,,,0
-4,0,1568672990.091,0,22,0,2339,2,6841,15724,69,6392864,5140364,"1,1,24",177,15,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568673076.872,0,22,0,1992,2,25403,26865,253,6387835,28582441,1,32,,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568673099.939,0,22,0,2116,2,25165,26748,74,6389876,28120963,14,237,CA,IOS,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568673168.175,0,22,0,2339,2,6842,26847,168,6375059,636865,"1,12",45,12,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568673211.353,0,22,3,2464,2,25692,27245,253,6391859,20107006,9,32,,ANDROID,cellular,app,IMAGE,,,4800320,,,0
-4,0,1568673252.655,0,22,0,1359,2,25238,25726,253,6373543,28635340,19,236,R3,ANDROID,wifi,app,IMAGE,,,3200480,3,,0
-4,0,1568673293.232,0,22,0,1088,2,25181,25181,74,6381396,28120963,14,32,22,IOS,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568673296.953,0,22,0,1087,2,25179,25179,253,5533185,26052167,9,32,,ANDROID,wifi,app,VIDEO,,,4800320,,,0
-4,0,1568673382.792,0,22,0,536,2,25742,27506,74,6389411,28120963,14,10,05,IOS,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568673448.84,0,22,0,2154,2,25170,25170,253,6385048,26941351,19,32,27,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568673629.352,0,22,0,1999,2,25662,27118,178,6370168,26242888,3,32,27,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568673707.996,0,22,0,2116,2,25165,27468,259,6388119,26983494,9,237,NC,IOS,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568673744.252,0,22,0,930,2,25482,26577,69,6379438,27814728,"1,1,9,9",32,17,ANDROID,wifi,app,HTML,ABRIR O APP,,3200480,,,0
-4,0,1568673808.813,0,22,0,1883,2,6932,16056,69,6374605,28014499,"14,3",177,04,ANDROID,wifi,app,IMAGE,,,3000250,0,,0
-4,0,1568673904.432,0,22,1,2463,2,25696,27279,259,6392054,28616144,9,178,F2,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568673911.928,0,22,0,2214,2,6732,15102,259,6372757,28616168,9,244,78,ANDROID,wifi,app,HTML,XEM NGAY,ƯU ĐÃI ĐẾN 60%,3200480,,,0
-4,0,1568673952.095,0,22,0,930,2,25482,26490,74,6386525,28131572,"1,9",32,27,ANDROID,wifi,app,VIDEO,,,4800320,,,0
-4,0,1568673966.243,0,22,0,1061,2,25401,26155,69,6381854,26934323,"5,9,9",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang,Cari menu lokal kini lebih mudah dengan GrabFood,3200480,1,,0
-4,0,1568673993.649,0,22,0,432,2,6791,15441,253,6378958,28161116,9,32,,ANDROID,wifi,app,HTML,VER MAIS,Saindo de {custom_label_2},3200480,,,0
-4,0,1568673994.694,0,22,0,2210,2,6835,27114,209,6379360,28196851,19,237,TX,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568674037.634,0,22,0,2117,2,25160,26745,253,6389888,28220640,24,237,FL,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568674061.944,0,22,0,1883,2,6932,16056,99,6375982,28035118,,177,15,ANDROID,wifi,app,NATIVE,PIDE AHORA,Haz las compras desde donde estés,0,0,,0
